model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
ridge,fixed_n,100,2000,2,2.9189247049130107,0.5855104895601657,0.007408857345581,,fixed
ridge,fixed_n,100,2000,3,2.938295064168188,0.616165979044055,0.0072150230407714,,fixed
ridge,fixed_n,100,2000,4,2.914081004411196,0.6340829085388024,0.0072259902954101,,fixed
ridge,fixed_n,200,2000,0,2.4845674985434916,0.7475440765954456,0.0176398754119873,,fixed
ridge,fixed_n,200,2000,1,2.7383125312527343,0.6654204591013888,0.0173666477203369,,fixed
ridge,fixed_n,200,2000,2,2.8503491516661903,0.6047572763034799,0.0172369480133056,,fixed
ridge,fixed_n,200,2000,3,2.7915209578607825,0.6535548866563161,0.0171649456024169,,fixed
ridge,fixed_n,200,2000,4,2.5303890620806597,0.7240985019255403,0.0175988674163818,,fixed
ridge,fixed_n,500,2000,0,2.2932640258111268,0.7849239349175323,0.0802962779998779,,fixed
ridge,fixed_n,500,2000,1,2.3294191252089513,0.7578811364150824,0.07967209815979,,fixed
ridge,fixed_n,500,2000,2,2.367192490199021,0.727394315048288,0.0791401863098144,,fixed
ridge,fixed_n,500,2000,3,2.434661092655866,0.7364702284931144,0.0782909393310546,,fixed
ridge,fixed_n,500,2000,4,2.2449930989915123,0.782825177099,0.0780270099639892,,fixed
ridge,fixed_n,1000,2000,0,2.1311968509059014,0.8142490271314369,0.2997081279754638,,fixed
ridge,fixed_n,1000,2000,1,2.0598419188790063,0.8106779766796176,0.300419807434082,,fixed
ridge,fixed_n,1000,2000,2,2.163408559845023,0.7723095333825913,0.298595666885376,,fixed
ridge,fixed_n,1000,2000,3,2.319909487678549,0.7607264260843467,0.3031260967254638,,fixed
ridge,fixed_n,1000,2000,4,2.1413404042664843,0.8024164070242197,0.2985589504241943,,fixed
ridge,fixed_n,2000,2000,0,2.086752238671747,0.8219156556532927,0.86757493019104,,fixed
ridge,fixed_n,2000,2000,1,2.0742149276248485,0.808026685132343,0.8672571182250977,,fixed
ridge,fixed_n,2000,2000,2,1.9999117276421208,0.8054239360120083,0.8629329204559326,,fixed
ridge,fixed_n,2000,2000,3,2.261139556962586,0.7726958369376953,0.8848590850830078,,fixed
ridge,fixed_n,2000,2000,4,2.030319750327428,0.8223732645904219,0.8658740520477295,,fixed
ridge,fixed_n,5000,2000,0,1.9771847865312835,0.8401257626585015,0.9207139015197754,,fixed
ridge,fixed_n,5000,2000,1,2.0063550067100016,0.8203823900466175,0.9222111701965332,,fixed
ridge,fixed_n,5000,2000,2,1.9383945696168283,0.8172101280565827,0.9343152046203612,,fixed
ridge,fixed_n,5000,2000,3,2.1895781898669404,0.786855774436485,0.920095920562744,,fixed
ridge,fixed_n,5000,2000,4,2.000544856107058,0.8275448999172307,0.9157490730285645,,fixed
ridge,fixed_n,10000,2000,0,1.9264173813741916,0.8482304167198975,1.0094351768493652,,fixed
ridge,fixed_n,10000,2000,1,1.9526462540816325,0.8298701581075746,1.0146939754486084,,fixed
ridge,fixed_n,10000,2000,2,1.8757348052033072,0.8288367068064807,1.014657735824585,,fixed
ridge,fixed_n,10000,2000,3,2.125810187365196,0.7990899682175093,1.008908987045288,,fixed
ridge,fixed_n,10000,2000,4,1.909012994960108,0.842964723051398,1.0084559917449951,,fixed
ridge,scaling_n,10,200,0,4.132938489687756,0.2467793204412826,0.0008289813995361,,fixed
ridge,scaling_n,10,200,1,3.815735882781647,0.4038663991620779,0.0007276535034179,,fixed
ridge,scaling_n,10,200,2,4.118782481662755,0.1964930999402816,0.0007250308990478,,fixed
ridge,scaling_n,10,200,3,4.2176587885109145,0.2048346882979966,0.0007257461547851,,fixed
ridge,scaling_n,10,200,4,4.196026481708967,0.2474850353958388,0.0007259845733642,,fixed
ridge,scaling_n,20,200,0,3.344686824905866,0.5066952805288895,0.0008177757263183,,fixed
ridge,scaling_n,20,200,1,3.8445540891921,0.3948278412190843,0.0007967948913574,,fixed
ridge,scaling_n,20,200,2,4.074454113684554,0.2136955036372647,0.0008022785186767,,fixed
ridge,scaling_n,20,200,3,4.343074116923165,0.1568418860176593,0.0008037090301513,,fixed
ridge,scaling_n,20,200,4,3.276514023765589,0.5411584246483055,0.0008049011230468,,fixed
ridge,scaling_n,50,200,0,3.229248960797988,0.5401592990307538,0.0012390613555908,,fixed
ridge,scaling_n,50,200,1,3.579887235443822,0.47528233807003,0.0012719631195068,,fixed
ridge,scaling_n,50,200,2,3.988088836153663,0.2466764498238773,0.0012159347534179,,fixed
ridge,scaling_n,50,200,3,3.612764354507395,0.4165632081626526,0.001223087310791,,fixed
ridge,scaling_n,50,200,4,3.18726647826637,0.5658143655854775,0.0012099742889404,,fixed
ridge,scaling_n,100,400,0,3.3385880232617433,0.4921053818361098,0.0028872489929199,,fixed
ridge,scaling_n,100,400,1,4.260611082260108,0.3319616560435682,0.0027720928192138,,fixed
ridge,scaling_n,100,400,2,4.165248657281602,0.2753021423303252,0.0027709007263183,,fixed
ridge,scaling_n,100,400,3,3.4128459430950895,0.5017890136731062,0.0027720928192138,,fixed
ridge,scaling_n,100,400,4,3.0008750012387706,0.6371015094811585,0.0027592182159423,,fixed
ridge,scaling_n,200,800,0,2.785511567357382,0.6532167709122654,0.0100700855255126,,fixed
ridge,scaling_n,200,800,1,2.9628915198442085,0.6546387095294246,0.009596824645996,,fixed
ridge,scaling_n,200,800,2,2.665196418199915,0.717990813488079,0.0094978809356689,,fixed
ridge,scaling_n,200,800,3,2.66614921478516,0.6855912530017639,0.0096230506896972,,fixed
ridge,scaling_n,200,800,4,2.9046039922359896,0.6732815542412554,0.009490966796875,,fixed
ridge,scaling_n,500,2000,0,2.2932640258111268,0.7849239349175323,0.0777549743652343,,fixed
ridge,scaling_n,500,2000,1,2.3294191252089513,0.7578811364150824,0.0778949260711669,,fixed
ridge,scaling_n,500,2000,2,2.367192490199021,0.727394315048288,0.0780010223388671,,fixed
ridge,scaling_n,500,2000,3,2.434661092655866,0.7364702284931144,0.0780630111694336,,fixed
ridge,scaling_n,500,2000,4,2.2449930989915123,0.782825177099,0.0779139995574951,,fixed
ridge,scaling_n,1000,2000,0,2.1311968509059014,0.8142490271314369,0.2988770008087158,,fixed
ridge,scaling_n,1000,2000,1,2.0598419188790063,0.8106779766796176,0.298030138015747,,fixed
ridge,scaling_n,1000,2000,2,2.163408559845023,0.7723095333825913,0.2975947856903076,,fixed
ridge,scaling_n,1000,2000,3,2.319909487678549,0.7607264260843467,0.2978699207305908,,fixed
ridge,scaling_n,1000,2000,4,2.1413404042664843,0.8024164070242197,0.2977919578552246,,fixed
ridge,scaling_n,2000,2000,0,2.086752238671747,0.8219156556532927,0.8660547733306885,,fixed
